================================================================================
[inspect_external] 2026-08-25T21-46-25Z exit=respond iters=5
================================================================================
Query: Read README.md and body_project_spec.md in full with line numbers.

--- iter 1 ---
ACTION:
{
  "thought": "Read README.md first as requested, then body_project_spec.md.",
  "tool": "read",
  "file": "README.md"
}
OBSERVATION:
OK: 1|# Body
2|
3|Onboard software for a differential-drive robot chassis: independent Python processes on a Raspberry Pi (target) communicate over [Zenoh](https://zenoh.io/) using JSON messages. The contract with the desktop agent (Jill / Cognitive Workbench) is defined in [body_project_spec.md](body_project_spec.md).
4|
5|## Requirements
6|
7|- Python 3.11+
8|- `eclipse-zenoh` and, for `oakd_driver`, `depthai` (see [requirements.txt](requirements.txt)); Linux udev rules for Movidius (`03e7`) are required to open the OAK from a non-root user.
9|- **OAK-D-Lite IMU:** retail units usually include a BNO IMU; DepthAI may require `oakd.imu_enable_firmware_update: true` (default in [config.json](config.json)) on first use. Some **Kickstarter OAK-D-Lite** boards have **no IMU** ([Luxonis docs](https://docs.luxonis.com/software-v3/depthai/depthai-components/nodes/imu/)) — set **`imu_hardware_present`: false** to run `oakd_driver` with synthetic `body/oakd/imu` so the launcher does not crash.
10|- A Zenoh **router** (`zenohd`) reachable by every Body process and every client (teleop or Jill). On the robot, run the router on the Pi and listen on TCP **7447** (see [Configuration](#configuration)).
11|
12|## Install (once per machine)
13|
14|Use the **repository root** (the directory that contains `config.json` and the `body/` package—not the inner `body/` folder alone):
15|
16|```bash
17|cd /path/to/Body
18|python3 -m venv .venv
19|.venv/bin/pip install -r requirements.txt
20|export PYTHONPATH="$(pwd)"
21|```
22|
23|Use the same `PYTHONPATH` for `launcher`, `teleop`, and any `python -m body.*` command. The launcher also sets `PYTHONPATH` for child processes.
24|
25|## Configuration
26|
27|| Item | Purpose |
28||------|---------|
29|| [config.json](config.json) | Zenoh `connect_endpoints`, motor/lidar/oakd/watchdog tuning. |
30|| `ZENOH_CONNECT` | Optional override: single endpoint, e.g. `tcp/192.168.1.50:7447`. Replaces `zenoh.connect_endpoints` for all processes. |
31|
32|Router on the Pi (matches the spec): listen on `0.0.0.0:7447` so peers on the LAN can connect. Example `zenohd` config fragment:
33|
34|```json
35|{
36|  "mode": "router",
37|  "listen": { "endpoints": ["tcp/0.0.0.0:7447"] }
38|}
39|```
40|
41|Processes on the Pi should connect to **`tcp/127.0.0.1:7447`** (default in `config.json`). A laptop running teleop uses **`tcp/<pi-ip>:7447`** via `ZENOH_CONNECT` or edited `connect_endpoints`.
42|
43|### Starting `zenohd` (router)
44|
45|Body expects a **router** already running before you start `body.launcher` or `teleop`.
46|
47|**`zenohd` is not installed by `pip` or your `.venv`.** The Python package `eclipse-zenoh` is only the client library. If the shell says `zenohd: command not found`, install the router binary below (or add it to your `PATH`).
48|
49|1. **Install the router binary** on the machine that runs the router (usually the Pi). Pick one:
50|   - Official options: [Zenoh installation](https://zenoh.io/docs/getting-started/installation/).
