================================================================================
[inspect] 2026-08-25T15-26-00Z exit=respond iters=7
================================================================================
Query: Read METHOD.md at the repository root and return the complete current method, especially the claim-surface closure, priority order, finding format, coverage threshold, and final deliverable rules.

--- iter 1 ---
ACTION:
{
  "thought": "I\u2019ll read the repository-root METHOD.md to extract the complete current method and cite its line ranges.",
  "tool": "read"
}
OBSERVATION:
ERROR: read requires a `file` argument

--- iter 2 ---
ACTION:
{
  "thought": "I\u2019ll read the repository-root METHOD.md to extract the complete current method and cite its line ranges.",
  "tool": "read",
  "file": "METHOD.md"
}
OBSERVATION:
OK: 1|# AI-Readiness Audit — method
2|
3|Drafted 2026-08-22 by Claude from Jill's statements in `jill_chat` turns
4|3019–3045; **reviewed and corrected by Jill the same day** (turn 3047). Her
5|corrections, the verdict vocabulary, the recommendation taxonomy, the
6|priority order, the correction protocol and the run sequence are hers. This
7|file is the single durable source for the method: it lives in git so it can
8|be read as a unit, diffed, and corrected, rather than accumulating in an
9|agent's memory where none of that is possible.
10|
11|Jill has offered a second pass once these are incorporated.
12|
13|---
14|
15|## 1. What this is
16|
17|A one-shot technical due-diligence report — a **delta report** — on a
18|target's stated claims about its own software, sold to PE firms and
19|micro-acquirers doing sub-$5M deals.
20|
21|**The product is one operation:**
22|
23|> stated claims vs. observed implementation, with citations.
24|
25|A buyer who wants a full security pen-test hires a pen-test firm. A buyer who
26|wants a full code-quality review hires a QA team. This is the **claims
27|verification** step — *is what they told you true?* — and that is what makes
28|it a distinct product rather than a re-skin of a code review.
29|
30|## 1a. Level of assurance
31|
32|**This is limited assurance over a disclosed subset of the claim surface, and
33|the conclusion is expressed positively over that subset only.**
34|
35|The distinction matters because it fixes what the report means. An engagement
36|offering *reasonable* assurance examines enough to reduce risk to acceptably
37|low and concludes positively over the whole subject matter. This engagement
38|does not: §4 prioritises, §12 stops at a coverage threshold, and §11 lists
39|what is out of scope. So the conclusion in §9 says something narrower than it
40|appears to — *of the claims examined, here is how they stood up* — and the
41|coverage statement is not a footnote to it but part of it.
42|
43|**Two consequences that bind.**
44|
45|1. **A §9 recommendation may not be stated without the coverage it rests on.**
46|   The recommendation and the coverage line travel together, in the report and
47|   in the Gap Map. A verdict without a denominator is not a conclusion.
48|2. **Never write a sentence that implies the unexamined was examined.** "The
49|   system does what it says" claims the whole surface. "Of the 43 claims
50|   verified, 39 hold" claims what was done. §4's coverage honesty is this rule
51|   applied to prose.
52|
53|## 2. The scope rule
54|
55|**Audit what the codebase *claims* to do — stated behaviour in docs, README,
56|specs, marketing — against observed behaviour in the code.**
57|
58|**Do not opine on what the code *should* do.** That is the buyer's design
59|judgement, and it is not what was bought.
60|
61|This boundary is the product. It is also what makes the deliverable
62|defensible, professionally and legally (§10). It applies recursively: it
63|governs the report's recommendation too (§9).
64|
65|## 3. Scope adapts to the target; the method does not
66|
67|The claim surface differs by target. The operation does not.
68|
69|**Codebase / robotics target:** claims-vs-implementation as the core,
70|architectural coherence (do the stated tier boundaries hold?), safety
71|mechanisms (are the safety-critical claims real implementations or stubs?),
72|plus short operational paragraphs on network exposure and dependency posture.
73|Not a pen-test, not a code review.
74|
75|**SaaS target** (the PE case): the security axis moves front and centre
76|(auth, injection, secrets in code, data handling); the dependency axis
77|matters more because the thing is public-facing and continuously updated; and
78|the "claims" are marketing claims rather than technical specs.
79|
80|Where a target's security axis is genuinely thin, say so as a property of the
81|target rather than padding the report — **but state it precisely.** In the
82|Body audit the accurate statement was *"no surveillance or telemetry
83|exfiltration path; one user-initiated outbound API call (x.ai TTS) sends
84|user-typed text off-network"*, not the broader "no data exfiltration path"
85|that Jill issued first and then corrected. The broad version was retracted
86|mid-audit and must not be carried here. A method document that quotes its own
87|retracted claim is a liability in exactly the way §10 exists to prevent.
88|
89|## 4. The claim surface, coverage honesty, and priority order
90|
91|1. **Enumerate the claims first.** Body's README, project spec and IMU docs
92|   yielded roughly 68 micro-claims.
93|2. **Prioritise** (order below).
94|3. **Report coverage explicitly**, including what was not checked and why it
95|   matters.
96|
97|**Coverage honesty.** Jill declined to write a final report at five findings
98|rather than
99|
100|> "hand you a 5-finding document that says 'everything checks out' based on
101|> 7% coverage of the claim surface."
102|
103|A report must be able to say *here is what holds, here is what does not, and
104|here is what I did not check and why it matters*. Silence about coverage
105|reads as completeness, and completeness is the one thing a due-diligence
106|report must never imply without having earned it.
107|
108|**Materiality — what makes a gap worth reporting at all.**
109|
110|A gap is material if a reasonable buyer, knowing it, **would change the price,
111|the structure of the deal, or the decision to close.** That is the threshold,
112|and it is transaction-relative rather than absolute: the same defect is
113|material in a $400k acquisition and noise in a $40m one.
114|
115|Three things follow. **Report every material gap regardless of which way it
116|pushes the price** — §10's independence rule. **A gap below the threshold is
117|not a finding**; it belongs in the consistency rate, not the findings table.
118|And **materiality is judged against the buyer's decision, not the auditor's
119|taste** — "this code is poorly organised" is not material unless it bears on
120|what was claimed.
121|
